,Provincia,Localidad,FIBRAOPTICA
627,TUCUMAN,Alpachiri,NO
628,TUCUMAN,Alto Verde,NO
629,TUCUMAN,Arcadia,NO
630,TUCUMAN,Concepción,SI
631,TUCUMAN,Iltico,NO
632,TUCUMAN,La Trinidad,NO
633,TUCUMAN,Medina,NO
634,TUCUMAN,San Roque,NO
635,TUCUMAN,Alderetes,SI
636,TUCUMAN,Banda del Río Salí,SI
637,TUCUMAN,Barrio Aeropuerto,NO
638,TUCUMAN,Colombres,NO
639,TUCUMAN,Colonia Mayo - Barrio La Milagrosa,NO
640,TUCUMAN,Delfín Gallo,NO
641,TUCUMAN,El Bracho,NO
642,TUCUMAN,El Corte,NO
643,TUCUMAN,El Paraiso,NO
644,TUCUMAN,Ex Ingenio Esperanza,NO
645,TUCUMAN,Ex Ingenio Los Ralos,NO
646,TUCUMAN,Ex Ingenio Lujan,NO
647,TUCUMAN,Ingenio La Florida,NO
648,TUCUMAN,La Florida,NO
649,TUCUMAN,Las Cejas,NO
650,TUCUMAN,Lastenia,NO
651,TUCUMAN,Lastenia,NO
652,TUCUMAN,Los Gutierrez,NO
653,TUCUMAN,Los Ralos,NO
654,TUCUMAN,Pacará,NO
655,TUCUMAN,Ranchillos,NO
656,TUCUMAN,San Andrés,SI
657,TUCUMAN,Villa Recaste,NO
658,TUCUMAN,Villa Tercera,NO
659,TUCUMAN,Barrio Casa Rosada,NO
660,TUCUMAN,Campo de Herrera,NO
661,TUCUMAN,Ex Ingenio Nueva Baviera,NO
662,TUCUMAN,Famaillá,SI
663,TUCUMAN,Ingenio Fronterita,NO
664,TUCUMAN,Graneros,NO
665,TUCUMAN,Lamadrid,SI
666,TUCUMAN,Taco Ralo,NO
667,TUCUMAN,Juan Bautista Alberdi,NO
668,TUCUMAN,Villa Belgrano,NO
669,TUCUMAN,La Cocha,NO
670,TUCUMAN,San José de La Cocha,NO
671,TUCUMAN,Bella Vista,SI
672,TUCUMAN,Estación Aráoz,NO
673,TUCUMAN,Los Puestos,NO
674,TUCUMAN,Manuel García Fernández,NO
675,TUCUMAN,Pala Pala,NO
676,TUCUMAN,Río Colorado,NO
677,TUCUMAN,Santa Rosa de Leales,NO
678,TUCUMAN,Villa de Leales,NO
679,TUCUMAN,Villa Fiad - Ingenio Leales,NO
680,TUCUMAN,Barrio Araujo,NO
681,TUCUMAN,Barrio San Felipe,NO
682,TUCUMAN,El Manantial,SI
683,TUCUMAN,Ingenio San Pablo,SI
684,TUCUMAN,La Reducción,NO
685,TUCUMAN,Santa Ana,NO
686,TUCUMAN,Villa Clodomiro Hileret,NO
687,TUCUMAN,Atahona,NO
688,TUCUMAN,Monteagudo,NO
689,TUCUMAN,Nueva Trinidad,NO
690,TUCUMAN,Santa Cruz,NO
691,TUCUMAN,Simoca,NO
692,TUCUMAN,Villa Chicligasta,NO
693,TUCUMAN,Amaicha del Valle,SI
694,TUCUMAN,Colalao del Valle,NO
695,TUCUMAN,El Mollar,NO
696,TUCUMAN,Tafí del Valle,NO
697,TUCUMAN,Barrio El Cruce,NO
698,TUCUMAN,Barrio Lomas de Tafí,NO
699,TUCUMAN,Barrio Mutual San Martín,NO
700,TUCUMAN,Barrio Parada 14,NO
701,TUCUMAN,Barrio U.T.A. II,NO
702,TUCUMAN,Diagonal Norte - Luz y Fuerza - Los Pocitos - Villa Nueva Italia (6),SI
703,TUCUMAN,Lules,SI
704,TUCUMAN,Acheral,SI
705,TUCUMAN,Capitán Cáceres,NO
706,TUCUMAN,Monteros,SI
707,TUCUMAN,Pueblo Independencia,NO
708,TUCUMAN,Río Seco,SI
709,TUCUMAN,Santa Lucía,NO
710,TUCUMAN,Sargento Moya,NO
711,TUCUMAN,Soldado Maldonado,NO
712,TUCUMAN,Teniente Berdina,NO
713,TUCUMAN,Villa Quinteros,NO
714,TUCUMAN,Aguilares,NO
715,TUCUMAN,Ingenio Santa Barbara,NO
716,TUCUMAN,Los Sarmientos,NO
717,TUCUMAN,Río Chico,NO
718,TUCUMAN,El Cadillal,NO
719,TUCUMAN,Tafí Viejo,SI
720,TUCUMAN,Villa Las Flores,NO
721,TUCUMAN,Villa Mariano Moreno - El Colmenar,SI
722,TUCUMAN,Choromoro,NO
723,TUCUMAN,San Pedro de Colalao,NO
724,TUCUMAN,Villa de Trancas,NO
725,TUCUMAN,Barrio San José III,NO
726,TUCUMAN,Cevil Redondo,NO
727,TUCUMAN,Country Jockey Club,NO
728,TUCUMAN,EX INGENIO SAN JOSE,NO
729,TUCUMAN,Villa Carmela,NO
730,TUCUMAN,Villa San Javier,NO
731,TUCUMAN,Yerba Buena - Marcos Paz,SI
732,SANTA FE,San Lorenzo,SI
733,SANTA FE,Timbúes,SI
734,SANTA FE,Villa Elvira,NO
735,SANTA FE,Villa Mugueta,NO
736,SANTA FE,Cañada Rosquín,NO
737,SANTA FE,Carlos Pellegrini,NO
738,SANTA FE,Casas,NO
739,SANTA FE,Castelar,NO
740,SANTA FE,Colonia Belgrano,NO
741,SANTA FE,Crispi,NO
742,SANTA FE,El Trébol,SI
743,SANTA FE,Landeta,NO
744,SANTA FE,Las Bandurrias,NO
745,SANTA FE,Las Petacas,NO
746,SANTA FE,Los Cardos,NO
747,SANTA FE,María Susana,SI
748,SANTA FE,Piamonte,NO
749,SANTA FE,San Jorge,SI
750,SANTA FE,San Martín de las Escobas,NO
751,SANTA FE,Sastre,SI
752,SANTA FE,Traill,NO
753,SANTA FE,Wildermuth (Est. Granadero B. Bustos),NO
754,SANTA FE,Calchaquí,NO
755,SANTA FE,Cañada Ombú,NO
756,SANTA FE,Colmena,NO
757,SANTA FE,Fortín Olmos,NO
758,SANTA FE,Garabato,NO
759,SANTA FE,Golondrina,NO
760,SANTA FE,Intiyaco,NO
761,SANTA FE,Kilómetro 115,NO
762,SANTA FE,La Gallareta,NO
763,SANTA FE,Los Amores,NO
764,SANTA FE,Margarita,NO
765,SANTA FE,Paraje 29,NO
766,SANTA FE,Pozo de los Indios,NO
767,SANTA FE,Pueblo Santa Lucía,NO
768,SANTA FE,Tartagal (Est. El Tajamar),NO
769,SANTA FE,Toba,NO
770,SANTA FE,Vera (Est. Gobernador Vera),NO
771,SANTIAGO DEL ESTERO,Argentina,NO
772,SANTIAGO DEL ESTERO,Malbrán,NO
773,SANTIAGO DEL ESTERO,Villa General Mitre (Est. Pinto),NO
774,SANTIAGO DEL ESTERO,Campo Gallo,SI
775,SANTIAGO DEL ESTERO,Coronel Manuel L. Rico,NO
776,SANTIAGO DEL ESTERO,Donadeu,SI
777,SANTIAGO DEL ESTERO,Sachayoj,SI
778,SANTIAGO DEL ESTERO,Santos Lugares,SI
779,SANTIAGO DEL ESTERO,Estación Atamisqui,SI
780,SANTIAGO DEL ESTERO,Medellín,SI
781,SANTIAGO DEL ESTERO,Villa Atamisqui,SI
782,SANTIAGO DEL ESTERO,Colonia Dora,NO
783,SANTIAGO DEL ESTERO,Herrera,NO
784,SANTIAGO DEL ESTERO,Tramo 20,NO
785,SANTIAGO DEL ESTERO,Bandera,SI
786,SANTIAGO DEL ESTERO,Cuatro Bocas,NO
787,SANTIAGO DEL ESTERO,Fortín Inca,NO
788,SANTIAGO DEL ESTERO,Guardia Escolta,NO
789,SANTIAGO DEL ESTERO,El Deán,NO
790,SANTIAGO DEL ESTERO,El Mojón,NO
791,SANTIAGO DEL ESTERO,El Zanjón,NO
792,SANTIAGO DEL ESTERO,Los Cardozos,SI
793,SANTIAGO DEL ESTERO,Maco,NO
794,SANTIAGO DEL ESTERO,Maquito,NO
795,SANTIAGO DEL ESTERO,Morales,NO
796,SANTIAGO DEL ESTERO,Puesto de San Antonio,NO
797,SANTIAGO DEL ESTERO,San Pedro,NO
798,SANTIAGO DEL ESTERO,Santa María,NO
799,SANTIAGO DEL ESTERO,Icaño,NO
800,SANTIAGO DEL ESTERO,Lugones,NO
801,SANTIAGO DEL ESTERO,Real Sayana,NO
802,SANTIAGO DEL ESTERO,Villa Mailín,NO
803,SANTIAGO DEL ESTERO,Abra Grande,NO
804,SANTIAGO DEL ESTERO,Antajé,NO
805,SANTIAGO DEL ESTERO,Ardiles,NO
806,SANTIAGO DEL ESTERO,Cañada Escobar,NO
807,SANTIAGO DEL ESTERO,Chaupi Pozo,SI
808,SANTIAGO DEL ESTERO,Clodomira,SI
809,SANTIAGO DEL ESTERO,Huyamampa,NO
810,SANTIAGO DEL ESTERO,La Aurora,NO
811,SANTIAGO DEL ESTERO,La Banda,SI
812,SANTIAGO DEL ESTERO,La Dársena,NO
813,SANTIAGO DEL ESTERO,Los Quiroga,NO
814,SANTIAGO DEL ESTERO,Los Soria,NO
815,SANTIAGO DEL ESTERO,Simbolar,NO
816,SANTIAGO DEL ESTERO,Tramo 16,NO
817,SANTIAGO DEL ESTERO,Añatuya,SI
818,SANTIAGO DEL ESTERO,Averías,NO
819,SANTIAGO DEL ESTERO,Estación Tacañitas,SI
820,SANTIAGO DEL ESTERO,La Nena,NO
821,SANTIAGO DEL ESTERO,Los Juríes,SI
822,SANTIAGO DEL ESTERO,Tomás Young,NO
823,SANTIAGO DEL ESTERO,Lavalle,NO
824,SANTIAGO DEL ESTERO,San Pedro,NO
825,SANTIAGO DEL ESTERO,El Arenal,NO
826,SANTIAGO DEL ESTERO,El Bobadal,NO
827,SANTIAGO DEL ESTERO,El Charco,SI
828,SANTIAGO DEL ESTERO,El Rincón,NO
829,SANTIAGO DEL ESTERO,Gramilla,SI
830,SANTIAGO DEL ESTERO,Isca Yacu,NO
831,SANTIAGO DEL ESTERO,Isca Yacu Semaul,NO
832,SANTIAGO DEL ESTERO,Patay,NO
833,SANTIAGO DEL ESTERO,Pozo Hondo,SI
834,SANTIAGO DEL ESTERO,San Pedro,NO
835,SANTIAGO DEL ESTERO,El Colorado,NO
836,SANTIAGO DEL ESTERO,El Cuadrado,NO
837,SANTIAGO DEL ESTERO,Matará,SI
838,SANTIAGO DEL ESTERO,Suncho Corral,NO
839,SANTIAGO DEL ESTERO,Vilelas,NO
840,SANTIAGO DEL ESTERO,Yuchán,NO
841,SANTIAGO DEL ESTERO,Villa San Martín (Est. Loreto),NO
842,SANTIAGO DEL ESTERO,Villa Unión,NO
843,SANTIAGO DEL ESTERO,Aerolito,NO
844,SANTIAGO DEL ESTERO,Alhuampa,SI
845,SANTIAGO DEL ESTERO,Hasse,NO
846,SANTIAGO DEL ESTERO,Hernán Mejía Miraval,NO
847,SANTIAGO DEL ESTERO,Las Tinajas,NO
848,SANTIAGO DEL ESTERO,Libertad,NO
849,SANTIAGO DEL ESTERO,Lilo Viejo,NO
850,SANTIAGO DEL ESTERO,Pueblo Pablo Torelo (Est. Otumpa),SI
851,SANTIAGO DEL ESTERO,Quimilí,NO
852,SANTIAGO DEL ESTERO,Roversi,NO
853,SANTIAGO DEL ESTERO,Tintina,SI
854,SANTIAGO DEL ESTERO,Weisburd,NO
855,SANTIAGO DEL ESTERO,El 49,NO
856,SANTIAGO DEL ESTERO,Sol de Julio,NO
857,SANTIAGO DEL ESTERO,Villa Ojo de Agua,SI
858,SANTIAGO DEL ESTERO,El Mojón,NO
859,SANTIAGO DEL ESTERO,Las Delicias,NO
860,SANTIAGO DEL ESTERO,Nueva Esperanza,SI
861,SANTIAGO DEL ESTERO,Pozo Betbeder,NO
862,SANTIAGO DEL ESTERO,Rapelli,SI
863,SANTIAGO DEL ESTERO,Santo Domingo,NO
864,SANTIAGO DEL ESTERO,Ramírez de Velazco,NO
865,SANTIAGO DEL ESTERO,Sumampa,NO
866,SANTIAGO DEL ESTERO,Sumampa Viejo,NO
867,SANTIAGO DEL ESTERO,Chañar Pozo de Abajo,NO
868,SANTIAGO DEL ESTERO,Chauchillas,NO
869,SANTIAGO DEL ESTERO,Colonia Tinco,NO
870,SANTIAGO DEL ESTERO,El Charco,NO
871,SANTIAGO DEL ESTERO,Gramilla,NO
872,SANTIAGO DEL ESTERO,La Nueva Donosa,NO
873,SANTIAGO DEL ESTERO,Los Miranda,NO
874,SANTIAGO DEL ESTERO,Los Núñez,SI
875,SANTIAGO DEL ESTERO,Mansupa,NO
876,SANTIAGO DEL ESTERO,Pozuelos,NO
877,SANTIAGO DEL ESTERO,Rodeo de Valdez,NO
878,SANTIAGO DEL ESTERO,Sauzal,NO
879,SANTIAGO DEL ESTERO,Termas de Río Hondo,SI
880,SANTIAGO DEL ESTERO,Villa Giménez,NO
881,SANTIAGO DEL ESTERO,Villa Río Hondo,NO
882,SANTIAGO DEL ESTERO,Villa Turística del Embalse,NO
883,SANTIAGO DEL ESTERO,Vinará,NO
884,SANTIAGO DEL ESTERO,Colonia Alpina,NO
885,SANTIAGO DEL ESTERO,Palo Negro,NO
886,SANTIAGO DEL ESTERO,Selva,NO
887,SANTIAGO DEL ESTERO,Beltrán,NO
888,SANTIAGO DEL ESTERO,Colonia El Simbolar,NO
889,SANTIAGO DEL ESTERO,Fernández,SI
890,SANTIAGO DEL ESTERO,Ingeniero Forres (Est. Chaguar Punco),SI
891,SANTIAGO DEL ESTERO,Vilmer,SI
892,SANTIAGO DEL ESTERO,Chilca Juliana,SI
893,SANTIAGO DEL ESTERO,Los Telares,SI
894,SANTIAGO DEL ESTERO,Villa Salavina,NO
895,SANTIAGO DEL ESTERO,Brea Pozo,NO
896,SANTIAGO DEL ESTERO,Estación Robles,NO
897,SANTIAGO DEL ESTERO,Santiago del Estero,SI
898,SANTIAGO DEL ESTERO,Vuelta de la Barranca,NO
899,SANTIAGO DEL ESTERO,Yanda,NO
900,SANTIAGO DEL ESTERO,Ancaján,NO
901,SANTIAGO DEL ESTERO,Choya,SI
902,SANTIAGO DEL ESTERO,Estación La Punta,NO
903,SANTIAGO DEL ESTERO,Frías,SI
904,SANTIAGO DEL ESTERO,Laprida,SI
905,SANTIAGO DEL ESTERO,San Pedro,NO
906,SANTIAGO DEL ESTERO,Tapso,SI
907,SANTIAGO DEL ESTERO,Villa La Punta,SI
908,SANTIAGO DEL ESTERO,El Caburé,NO
909,SANTIAGO DEL ESTERO,La Firmeza,NO
910,SANTIAGO DEL ESTERO,Los Pirpintos,SI
911,SANTIAGO DEL ESTERO,Estación Taboada,NO
912,SANTIAGO DEL ESTERO,Villa Nueva,NO
913,SANTIAGO DEL ESTERO,Garza,NO
914,SANTIAGO DEL ESTERO,Árraga,SI
915,SANTIAGO DEL ESTERO,Nueva Francia,NO
916,SANTIAGO DEL ESTERO,Simbol,NO
917,SANTIAGO DEL ESTERO,Sumamao,NO
918,SANTIAGO DEL ESTERO,Villa Silípica,NO
919,TIERRA DEL FUEGO,Base Belgrano Ii,NO
920,TIERRA DEL FUEGO,Base Brown,NO
921,TIERRA DEL FUEGO,Base Carlini,NO
922,TIERRA DEL FUEGO,Base Esperanza,NO
923,TIERRA DEL FUEGO,Base Marambio,NO
924,TIERRA DEL FUEGO,Base Matienzo,NO
925,TIERRA DEL FUEGO,Base Orcadas,NO
926,TIERRA DEL FUEGO,Base San Martin,NO
927,TIERRA DEL FUEGO,Destacamento Camara,NO
928,TIERRA DEL FUEGO,Destacamento Decepcion,NO
929,TIERRA DEL FUEGO,Destacamento Melchior,NO
930,TIERRA DEL FUEGO,Destacamento Petrel,NO
931,SANTA FE,Reconquista,SI
932,SANTA FE,San Antonio de Obligado,NO
933,SANTA FE,Tacuarendí (Emb. Kilómetro 421),NO
934,SANTA FE,Villa Ana,NO
935,SANTA FE,Villa Guillermina,NO
936,SANTA FE,Villa Ocampo,SI
937,SANTA FE,Barrio Cicarelli,NO
938,SANTA FE,Bustinza,SI
939,SANTA FE,Cañada de Gómez,SI
940,SANTA FE,Carrizales (Est. Clarke),NO
941,SANTA FE,Arroyo Aguiar,NO
942,SANTA FE,Arroyo Leyes,SI
943,SANTA FE,Cabal,NO
944,SANTA FE,Campo Andino,NO
945,SANTA FE,Candioti,SI
946,SANTA FE,Emilia,SI
947,SANTA FE,Laguna Paiva,NO
948,SANTA FE,Llambi Campbell,NO
949,SANTA FE,Monte Vera,NO
950,SANTA FE,Nelson,SI
951,SANTA FE,Paraje Chaco Chico,NO
952,SANTA FE,Paraje La Costa,NO
953,SANTA FE,Recreo,NO
954,SANTA FE,RINCON NORTE,NO
955,SANTA FE,Rincón Potrero,NO
956,SANTA FE,San José del Rincón,SI
957,SANTA FE,Santa Fe,SI
958,SANTA FE,Santo Tomé,SI
959,SANTA FE,Sauce Viejo,SI
960,SANTA FE,Villa Adelina,NO
961,SANTA FE,Villa Laura (Est. Constituyentes),NO
962,SANTA FE,Cavour,NO
963,SANTA FE,Cululú,NO
964,SANTA FE,Elisa,SI
965,SANTA FE,Empalme San Carlos,NO
966,SANTA FE,Esperanza,SI
967,SANTA FE,Felicia,NO
968,SANTA FE,Franck,SI
969,SANTA FE,Grutly,NO
970,SANTA FE,Hipatia,NO
971,SANTA FE,Humboldt,SI
972,SANTA FE,Jacinto L. Aráuz,NO
973,SANTA FE,La Pelada,SI
974,SANTA FE,Las Tunas,SI
975,SANTA FE,María Luisa,NO
976,SANTA FE,Matilde,NO
977,SANTA FE,Nuevo Torino,NO
978,SANTA FE,Pilar,SI
979,SANTA FE,Plaza Matilde,NO
980,SANTA FE,Progreso,NO
981,SANTA FE,Providencia,NO
982,SANTA FE,Sa Pereyra,NO
983,SANTA FE,San Agustín,NO
984,SANTA FE,San Carlos Centro,SI
985,SANTA FE,San Carlos Norte,NO
986,SANTA FE,San Carlos Sud,NO
987,SANTA FE,San Jerónimo del Sauce,SI
988,SANTA FE,San Jerónimo Norte,SI
989,SANTA FE,San Mariano,NO
990,SANTA FE,Santa Clara de Buena Vista,NO
991,SANTA FE,Santo Domingo,NO
992,SANTA FE,Classon,SI
993,SANTA FE,Colonia Médici,NO
994,SANTA FE,Correa,SI
995,SANTA FE,Larguía,NO
996,SANTA FE,Lucio V. López,NO
997,SANTA FE,Oliveros,SI
998,SANTA FE,Pueblo Andino,NO
999,SANTA FE,Salto Grande,NO
1000,SANTA FE,Serodino,SI
1001,SANTA FE,Totoras,SI
1002,SANTA FE,Villa Eloísa,SI
1003,SANTA FE,Villa La Rivera (Oliveros),NO
1004,SANTA FE,Villa La Rivera (Pueblo Andino),NO
1005,SANTA FE,Angel Gallardo,NO
1006,SANTA FE,Fighiera,NO
1007,SANTA FE,Funes,SI
1008,SANTA FE,General Lagos,SI
1009,SANTA FE,Granadero Baigorria,SI
1010,SANTA FE,Ibarlucea,SI
1011,SANTA FE,Kilómetro 101,NO
1012,SANTA FE,Los Muchachos - La Alborada,NO
1013,SANTA FE,Monte Flores,NO
1014,SANTA FE,Pérez,SI
1015,SANTA FE,Piñero (Est. Erasto),SI
1016,SANTA FE,Pueblo Esther,SI
1017,SANTA FE,Pueblo Muñoz (Est. Bernard),NO
1018,SANTA FE,Pueblo Uranga,SI
1019,SANTA FE,Puerto Arroyo Seco,NO
1020,SANTA FE,Rosario,SI
1021,SANTA FE,Soldini,NO
1022,SANTA FE,Villa Amelia,SI
1023,SANTA FE,Villa del Plata,NO
1024,SANTA FE,Villa Gobernador Gálvez,SI
1025,SANTA FE,Zavalla,NO
1026,SANTA FE,Aguará Grande,NO
1027,SANTA FE,Ambrosetti,NO
1028,SANTA FE,Arrufo,SI
1029,SANTA FE,Balneario La Verde,NO
1030,SANTA FE,Capivara,NO
1031,SANTA FE,Ceres,NO
1032,SANTA FE,Colonia Ana,NO
1033,SANTA FE,Colonia Bossi,SI
1034,SANTA FE,Colonia Rosa,NO
1035,SANTA FE,Constanza,NO
1036,SANTA FE,Curupaity,NO
1037,SANTA FE,Hersilia,NO
1038,SANTA FE,Huanqueros,NO
1039,SANTA FE,La Cabral,NO
1040,SANTA FE,La Lucila,NO
1041,SANTA FE,La Rubia,NO
1042,SANTA FE,Las Avispas,NO
1043,SANTA FE,Las Palmeras,NO
1044,SANTA FE,Moisés Ville,SI
1045,SANTA FE,Monigotes,SI
1046,SANTA FE,Ñanducita,NO
1047,SANTA FE,Palacios,SI
1048,SANTA FE,San Cristóbal,SI
1049,SANTA FE,San Guillermo,SI
1050,SANTA FE,Santurce,NO
1051,SANTA FE,Soledad,NO
1052,SANTA FE,Suardi,SI
1053,SANTA FE,Villa Saralegui,NO
1054,SANTA FE,Villa Trinidad,NO
1055,SANTA FE,Alejandra,NO
1056,SANTA FE,Cacique Ariacaiquín,NO
1057,SANTA FE,Colonia Durán,NO
1058,SANTA FE,La Brava,NO
1059,SANTA FE,Romang,SI
1060,SANTA FE,San Javier,SI
1061,SANTA FE,Arocena,NO
1062,SANTA FE,Balneario Monje,NO
1063,SANTA FE,Barrancas,NO
1064,SANTA FE,Barrio Caima,NO
1065,SANTA FE,Barrio El Pacaá - Barrio Comipini,NO
1066,SANTA FE,Bernardo de Irigoyen (Est. Irigoyen),SI
1067,SANTA FE,Casalegno,NO
1068,SANTA FE,Centeno,NO
1069,SANTA FE,Coronda,SI
1070,SANTA FE,Desvío Arijón,NO
1071,SANTA FE,Díaz,SI
1072,SANTA FE,Gaboto,NO
1073,SANTA FE,Gálvez,SI
1074,SANTA FE,Gessler,SI
1075,SANTA FE,Irigoyen,NO
1076,SANTA FE,Larrechea,NO
1077,SANTA FE,Loma Alta,SI
1078,SANTA FE,López (Est. San Martín de Tours),NO
1079,SANTA FE,Maciel,NO
1080,SANTA FE,Monje,SI
1081,SANTA FE,Puerto Aragón,NO
1082,SANTA FE,San Eugenio,SI
1083,SANTA FE,San Fabián,NO
1084,SANTA FE,San Genaro,SI
1085,SANTA FE,San Genaro Norte,SI
1086,SANTA FE,Angeloni,NO
1087,SANTA FE,Cayastacito,NO
1088,SANTA FE,Colonia Dolores,NO
1089,SANTA FE,Esther,NO
1090,SANTA FE,Gobernador Crespo,NO
1091,SANTA FE,La Criolla (Est. Cañadita),NO
1092,SANTA FE,La Penca y Caraguatá,NO
1093,SANTA FE,Marcelino Escalada,NO
1094,SANTA FE,Naré,NO
1095,TIERRA DEL FUEGO,Río Grande,SI
1096,TIERRA DEL FUEGO,Tolhuin,NO
1097,TIERRA DEL FUEGO,Laguna Escondida,NO
1098,TIERRA DEL FUEGO,Ushuaia,SI
1099,TUCUMAN,7 de Abril,NO
1100,TUCUMAN,Barrio San Jorge,NO
1101,TUCUMAN,El Chañar,NO
1102,TUCUMAN,El Naranjo,NO
1103,TUCUMAN,Garmendia,NO
1104,TUCUMAN,La Ramada,NO
1105,TUCUMAN,Macomitas,NO
1106,TUCUMAN,Piedrabuena,NO
1107,TUCUMAN,Villa Benjamín Aráoz,NO
1108,SAN LUIS,Los Algarrobos Blancos,NO
1109,SAN LUIS,Mosmota,NO
1110,SAN LUIS,Potrero de los Funes,NO
1111,SAN LUIS,Pozo Del Carril,NO
1112,SAN LUIS,Salinas del Bebedero,NO
1113,SAN LUIS,San Jerónimo,NO
1114,SAN LUIS,San Luis,SI
1115,SAN LUIS,San Roque,NO
1116,SAN LUIS,Santa Rosa,NO
1117,SAN LUIS,Varela,NO
1118,SAN LUIS,Zanjitas,NO
1119,SAN LUIS,Barranca Alta,NO
1120,SAN LUIS,Cabeza De Novillo,NO
1121,SAN LUIS,Casa De Los Tigres,NO
1122,SAN LUIS,El Estanquito,NO
1123,SAN LUIS,El Paraguay,NO
1124,SAN LUIS,El Paraiso,NO
1125,SAN LUIS,El Puesto,NO
1126,SAN LUIS,La Cocha,NO
1127,SAN LUIS,La Ramada,NO
1128,SAN LUIS,La Totora,NO
1129,SAN LUIS,La Vertiente,NO
1130,SAN LUIS,Las Aguadas,NO
1131,SAN LUIS,Paso Grande,SI
1132,SAN LUIS,Planta De Sandia,NO
1133,SAN LUIS,Potrerillo,NO
1134,SAN LUIS,Puerta Colorada,NO
1135,SAN LUIS,Rincon Del Carmen,NO
1136,SAN LUIS,San Fernando,NO
1137,SAN LUIS,San Isidro,NO
1138,SAN LUIS,San Martín,SI
1139,SAN LUIS,San Vicente,NO
1140,SAN LUIS,Tala Verde,NO
1141,SAN LUIS,Villa de Praga,NO
1142,SANTA CRUZ,Comandante Luis Piedrabuena,NO
1143,SANTA CRUZ,Puerto Santa Cruz,SI
1144,SANTA CRUZ,Caleta Olivia,SI
1145,SANTA CRUZ,Cañadón Seco,SI
1146,SANTA CRUZ,Fitz Roy,NO
1147,SANTA CRUZ,Jaramillo,NO
1148,SANTA CRUZ,Koluel Kaike,NO
1149,SANTA CRUZ,Las Heras,SI
1150,SANTA CRUZ,Pico Truncado,SI
1151,SANTA CRUZ,Puerto Deseado,NO
1152,SANTA CRUZ,Tellier,NO
1153,SANTA CRUZ,28 de Noviembre,SI
1154,SANTA CRUZ,El Turbio (Est. Gobernador Mayer),NO
1155,SANTA CRUZ,Julia Dufour,NO
1156,SANTA CRUZ,Mina 3,NO
1157,SANTA CRUZ,Río Gallegos,SI
1158,SANTA CRUZ,Rospentek,NO
1159,SANTA CRUZ,Yacimientos Río Turbio,NO
1160,SANTA CRUZ,El Calafate,SI
1161,SANTA CRUZ,El Chaltén,SI
1162,SANTA CRUZ,Tres Lagos,NO
1163,SANTA CRUZ,Los Antiguos,NO
1164,SANTA CRUZ,Perito Moreno,NO
1165,SANTA CRUZ,Puerto San Julián,NO
1166,SANTA CRUZ,Bajo Caracoles,NO
1167,SANTA CRUZ,Gobernador Gregores,NO
1168,SANTA CRUZ,Hipólito Yrigoyen,NO
1169,SANTA FE,Campo Garay,NO
1170,SANTA FE,Esteban Rams,NO
1171,SANTA FE,Gato Colorado,NO
1172,SANTA FE,Gregoria Pérez de Denis (Est. El Nochero),NO
1173,SANTA FE,Independencia,NO
1174,SANTA FE,Logroño,NO
1175,SANTA FE,Montefiore,NO
1176,SANTA FE,Pozo Borrado,NO
1177,SANTA FE,San Bernardo,NO
1178,SANTA FE,Santa Margarita,NO
1179,SANTA FE,Tostado,NO
1180,SANTA FE,Villa Minetti,NO
1181,SANTA FE,Armstrong,SI
1182,SANTA FE,Bouquet,NO
1183,SANTA FE,Las Parejas,SI
1184,SANTA FE,Las Rosas,SI
1185,SANTA FE,Montes de Oca,NO
1186,SANTA FE,Tortugas,NO
1187,SANTA FE,Arequito,NO
1188,SANTA FE,Arteaga,NO
1189,SANTA FE,Beravebú,NO
1190,SANTA FE,Bigand,NO
1191,SANTA FE,Casilda,SI
1192,SANTA FE,Chabás,SI
1193,SANTA FE,Chañar Ladeado,SI
1194,SANTA FE,Bauer y Sigel,NO
1195,SANTA FE,Bella Italia,SI
1196,SANTA FE,Castellanos,NO
1197,SANTA FE,Colonia Bicha,SI
1198,SANTA FE,Colonia Cello,NO
1199,SANTA FE,Colonia Margarita,NO
1200,SANTA FE,Colonia Raquel,SI
1201,SANTA FE,Coronel Fraga,NO
1202,SANTA FE,Egusquiza,NO
1203,SANTA FE,Esmeralda,NO
1204,SANTA FE,Estación Clucellas,NO
1205,SANTA FE,Estacion Presidente Roca,NO
1206,SANTA FE,Estación Saguier,NO
1207,SANTA FE,Eusebia y Carolina,SI
1208,SANTA FE,Eustolia,NO
1209,SANTA FE,Frontera,NO
1210,SANTA FE,Garibaldi,NO
1211,SANTA FE,Lazzarino,NO
1212,SAN LUIS,Villa Mercedes,SI
1213,SAN LUIS,Villa Reynolds,NO
1214,SAN LUIS,Villa Salles,NO
1215,SAN LUIS,Anchorena,NO
1216,SAN LUIS,Arizona,NO
1217,SAN LUIS,Bagual,NO
1218,SAN LUIS,Batavia,NO
1219,SAN LUIS,Buena Esperanza,NO
1220,SAN LUIS,Fortín El Patria,NO
1221,SAN LUIS,Fortuna,NO
1222,SAN LUIS,La Maroma,NO
1223,SAN LUIS,Los Overos,NO
1224,SAN LUIS,Martín de Loyola,NO
1225,SAN LUIS,Nahuel Mapá,NO
1226,SAN LUIS,Navia,NO
1227,SAN LUIS,Nueva Galia,NO
1228,SANTA FE,Humberto Primo,SI
1229,SANTA FE,Josefina,NO
